iter	Logloss
0	0.6264118514
1	0.5796255321
2	0.5653871677
3	0.5587673723
4	0.5537272379
5	0.5504774043
6	0.5483063966
7	0.5447209618
8	0.5414170628
9	0.5385903042
10	0.5359020186
11	0.5326126535
12	0.5302554592
13	0.5281300362
14	0.5252013427
15	0.5232467052
16	0.5220660482
17	0.5193606663
18	0.518194396
19	0.5168543704
20	0.5153883994
21	0.513977052
22	0.511709982
23	0.5087765231
24	0.5053962922
25	0.5040396769
26	0.5022473073
27	0.5013428029
28	0.4999157052
29	0.4992403554
30	0.4963097452
31	0.494862789
32	0.4930977775
33	0.4913559441
34	0.4902582813
35	0.4892399277
36	0.486782089
37	0.4846410102
38	0.4835508624
39	0.4824508437
40	0.4794152731
41	0.4788190909
42	0.4765463921
43	0.4737375044
44	0.4720679446
45	0.4710165445
46	0.4692647616
47	0.4680550538
48	0.4661397556
49	0.4646875338
50	0.4632916101
51	0.4620661405
52	0.4610920872
53	0.4589710163
54	0.4575467448
55	0.4553970455
56	0.4532768138
57	0.4508872898
58	0.4497882131
59	0.4483154782
60	0.447171658
61	0.4463116397
62	0.4457631312
63	0.4440959026
64	0.4426436821
65	0.4415702801
66	0.440489141
67	0.4392917862
68	0.4381257684
69	0.436202308
70	0.4351046839
71	0.4332245282
72	0.4324824656
73	0.4313629056
74	0.4304378425
75	0.4296144086
76	0.4284511214
77	0.4266041732
78	0.4254346725
79	0.4245253047
80	0.4233069294
81	0.4219444625
82	0.4200093089
83	0.418425364
84	0.4172040197
85	0.4162105937
86	0.414777799
87	0.4129506504
88	0.4109888598
89	0.410006693
90	0.4089741702
91	0.408011756
92	0.4064858176
93	0.4049141882
94	0.403941153
95	0.4031841777
96	0.4019515167
97	0.4009839265
98	0.3996901013
99	0.398637954
100	0.3969657285
101	0.3956312123
102	0.3947800174
103	0.3932219153
